,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER,ORIGIN,DEST,DEP_TIME,DEP_DEL15,DEP_TIME_BLK,ARR_TIME,ARR_DEL15,DISTANCE
7218,1,6,AS,DCA,SEA,757.0,0.0,0800-0859,1112.0,0.0,2329.0
7219,1,6,AS,SEA,DCA,1400.0,0.0,1400-1459,2143.0,0.0,2329.0
7220,1,6,AS,DCA,SEA,1705.0,0.0,1700-1759,2035.0,0.0,2329.0
7221,1,6,AS,SEA,DCA,757.0,0.0,0800-0859,1540.0,0.0,2329.0
7222,1,6,AS,DCA,LAX,853.0,0.0,0900-0959,1118.0,0.0,2311.0
7223,1,6,AS,LAX,DCA,1305.0,0.0,1300-1359,2107.0,0.0,2311.0
7224,1,6,AS,JFK,SEA,727.0,0.0,0700-0759,1057.0,0.0,2422.0
7225,1,6,AS,SEA,EWR,841.0,1.0,0800-0859,1621.0,0.0,2402.0
7226,1,6,AS,MCO,SEA,701.0,0.0,0700-0759,1038.0,0.0,2554.0
7227,1,6,AS,SEA,MCO,2111.0,0.0,2100-2159,501.0,0.0,2554.0
7228,1,6,AS,EWR,SEA,1630.0,0.0,1600-1659,2000.0,0.0,2402.0
7229,1,6,AS,SEA,BOS,755.0,1.0,0700-0759,1556.0,0.0,2496.0
7230,1,6,AS,SEA,EWR,1539.0,0.0,1500-1559,2329.0,0.0,2402.0
7231,1,6,AS,SEA,MCO,834.0,0.0,0800-0859,1645.0,0.0,2554.0
7232,1,6,AS,PHL,SEA,1743.0,1.0,1600-1659,2054.0,1.0,2378.0
7233,1,6,AS,SEA,JFK,2257.0,0.0,2300-2359,653.0,0.0,2422.0
7234,1,6,AS,MCO,SEA,1735.0,1.0,1700-1759,2051.0,1.0,2554.0
7235,1,6,AS,BOS,SEA,645.0,0.0,0700-0759,1043.0,0.0,2496.0
7236,1,6,AS,SEA,PHL,748.0,0.0,0700-0759,1544.0,0.0,2378.0
7237,1,6,AS,SEA,ORD,1236.0,0.0,1200-1259,1835.0,0.0,1721.0
7238,1,6,AS,FLL,SEA,1846.0,1.0,1800-1859,2221.0,0.0,2717.0
7239,1,6,AS,SEA,FLL,946.0,0.0,0900-0959,1845.0,0.0,2717.0
7240,1,6,AS,ORD,SEA,1408.0,1.0,1300-1359,1700.0,1.0,1721.0
7241,1,6,AS,ADQ,ANC,1719.0,0.0,1700-1759,1821.0,0.0,253.0
7242,1,6,AS,ANC,BET,951.0,0.0,0900-0959,1108.0,0.0,399.0
7243,1,6,AS,BET,ANC,1146.0,0.0,1100-1159,1303.0,0.0,399.0
7244,1,6,AS,ANC,BET,1834.0,0.0,1800-1859,1957.0,0.0,399.0
7245,1,6,AS,BET,ANC,2039.0,0.0,2000-2059,2144.0,0.0,399.0
7246,1,6,AS,ANC,ADQ,1546.0,0.0,1500-1559,1636.0,0.0,253.0
7247,1,6,AS,ANC,SCC,1530.0,0.0,1500-1559,1709.0,0.0,626.0
7248,1,6,AS,BRW,ANC,1915.0,0.0,1900-1959,2055.0,0.0,725.0
7249,1,6,AS,SCC,BRW,1747.0,0.0,1800-1859,1838.0,0.0,204.0
7250,1,6,AS,SCC,BRW,931.0,0.0,0900-0959,1025.0,0.0,204.0
7251,1,6,AS,BRW,FAI,1110.0,0.0,1100-1159,1234.0,0.0,503.0
7252,1,6,AS,FAI,ANC,1325.0,0.0,1300-1359,1424.0,0.0,261.0
7253,1,6,AS,ANC,SCC,708.0,0.0,0700-0759,856.0,0.0,626.0
7254,1,6,AS,SEA,ANC,1354.0,0.0,1400-1459,1629.0,0.0,1448.0
7255,1,6,AS,JNU,KTN,714.0,0.0,0700-0759,841.0,1.0,234.0
7256,1,6,AS,KTN,SEA,923.0,0.0,0900-0959,1220.0,0.0,680.0
7257,1,6,AS,CDV,ANC,1323.0,0.0,1300-1359,1406.0,0.0,160.0
7258,1,6,AS,SEA,JNU,744.0,0.0,0700-0759,916.0,0.0,909.0
7259,1,6,AS,JNU,YAK,1000.0,0.0,1000-1059,1112.0,0.0,198.0
7260,1,6,AS,YAK,CDV,1156.0,0.0,1200-1259,1245.0,0.0,213.0
7261,1,6,AS,KTN,SEA,1301.0,0.0,1300-1359,1545.0,0.0,680.0
7262,1,6,AS,JNU,SIT,956.0,0.0,1000-1059,1052.0,0.0,95.0
7263,1,6,AS,ANC,JNU,739.0,0.0,0700-0759,909.0,0.0,571.0
7264,1,6,AS,SIT,KTN,1129.0,0.0,1100-1159,1225.0,0.0,183.0
7265,1,6,AS,ANC,JNU,1057.0,0.0,1100-1159,1228.0,0.0,571.0
7266,1,6,AS,WRG,KTN,1554.0,0.0,1600-1659,1627.0,0.0,82.0
7267,1,6,AS,PSG,WRG,1449.0,0.0,1500-1559,1526.0,0.0,31.0
7268,1,6,AS,JNU,PSG,1320.0,0.0,1300-1359,1428.0,0.0,123.0
7269,1,6,AS,KTN,SEA,1716.0,0.0,1700-1759,2005.0,0.0,680.0
7270,1,6,AS,WRG,PSG,1100.0,1.0,1000-1059,1150.0,1.0,31.0
7271,1,6,AS,JNU,ANC,1355.0,1.0,1200-1259,1545.0,1.0,571.0
7272,1,6,AS,SEA,KTN,643.0,0.0,0600-0659,801.0,0.0,680.0
7273,1,6,AS,KTN,WRG,903.0,0.0,0800-0859,1008.0,1.0,82.0
7274,1,6,AS,PSG,JNU,1238.0,1.0,1100-1159,1321.0,1.0,123.0
7275,1,6,AS,JNU,SEA,2012.0,0.0,2000-2059,2340.0,0.0,909.0
7276,1,6,AS,YAK,JNU,1759.0,0.0,1800-1859,1854.0,0.0,198.0
7277,1,6,AS,ANC,CDV,1512.0,0.0,1500-1559,1556.0,0.0,160.0
7278,1,6,AS,CDV,YAK,1634.0,0.0,1600-1659,1735.0,0.0,213.0
7279,1,6,AS,SIT,JNU,1856.0,0.0,1900-1959,1950.0,0.0,95.0
7280,1,6,AS,KTN,SIT,1722.0,0.0,1700-1759,1815.0,0.0,183.0
7281,1,6,AS,SEA,KTN,1552.0,1.0,1500-1559,1651.0,0.0,680.0
7282,1,6,AS,KTN,JNU,2026.0,0.0,2000-2059,2122.0,0.0,234.0
7283,1,6,AS,SEA,KTN,1837.0,0.0,1800-1859,1942.0,0.0,680.0
7284,1,6,AS,JNU,SIT,2208.0,0.0,2200-2259,2312.0,0.0,95.0
7285,1,6,AS,JNU,SEA,750.0,0.0,0800-0859,1128.0,0.0,909.0
7286,1,6,AS,JNU,ANC,728.0,0.0,0700-0759,914.0,0.0,571.0
7287,1,6,AS,SIT,JNU,559.0,0.0,0600-0659,657.0,0.0,95.0
7288,1,6,AS,SEA,JNU,1011.0,0.0,1000-1059,1147.0,0.0,909.0
7289,1,6,AS,JNU,SEA,1336.0,1.0,1200-1259,1717.0,1.0,909.0
7290,1,6,AS,SEA,JNU,2126.0,0.0,2100-2159,2248.0,0.0,909.0
7291,1,6,AS,ANC,SEA,1151.0,0.0,1200-1259,1606.0,0.0,1448.0
7292,1,6,AS,SEA,ANC,553.0,0.0,0600-0659,831.0,0.0,1448.0
7293,1,6,AS,ANC,SEA,549.0,0.0,0600-0659,1007.0,0.0,1448.0
7294,1,6,AS,SEA,ANC,751.0,0.0,0700-0759,1048.0,0.0,1448.0
7295,1,6,AS,ANC,SEA,1550.0,0.0,1500-1559,1958.0,0.0,1448.0
7296,1,6,AS,ANC,SEA,802.0,0.0,0800-0859,1211.0,0.0,1448.0
7297,1,6,AS,ANC,SEA,953.0,0.0,0900-0959,1405.0,0.0,1448.0
7298,1,6,AS,ANC,SEA,1047.0,0.0,1100-1159,1504.0,0.0,1448.0
7299,1,6,AS,SEA,ANC,1045.0,0.0,1000-1059,1311.0,0.0,1448.0
7300,1,6,AS,SEA,ANC,1718.0,1.0,1700-1759,1954.0,0.0,1448.0
7301,1,6,AS,SEA,ANC,1755.0,0.0,1800-1859,2035.0,0.0,1448.0
7302,1,6,AS,SEA,ANC,1853.0,0.0,1900-1959,2131.0,0.0,1448.0
7303,1,6,AS,SEA,ANC,2013.0,0.0,2000-2059,2310.0,0.0,1448.0
7304,1,6,AS,SEA,FAI,1748.0,0.0,1700-1759,2031.0,0.0,1533.0
7305,1,6,AS,ANC,SEA,1914.0,0.0,1900-1959,2315.0,0.0,1448.0
7306,1,6,AS,ANC,SEA,2152.0,0.0,2200-2259,200.0,0.0,1448.0
7307,1,6,AS,ANC,SEA,26.0,0.0,0001-0559,443.0,0.0,1448.0
7308,1,6,AS,SFO,JFK,2313.0,0.0,2300-2359,729.0,0.0,2586.0
7309,1,6,AS,FAI,ANC,513.0,0.0,0001-0559,638.0,0.0,261.0
7310,1,6,AS,SEA,ANC,2216.0,0.0,2200-2259,101.0,0.0,1448.0
7311,1,6,AS,SEA,FAI,2013.0,0.0,2000-2059,2253.0,0.0,1533.0
7312,1,6,AS,SEA,ANC,1536.0,0.0,1500-1559,1818.0,0.0,1448.0
7313,1,6,AS,ANC,SEA,127.0,0.0,0001-0559,556.0,0.0,1448.0
7314,1,6,AS,SEA,FAI,1144.0,0.0,1100-1159,1436.0,0.0,1533.0
7315,1,6,AS,FAI,SEA,808.0,0.0,0800-0859,1301.0,0.0,1533.0
7316,1,6,AS,PDX,ANC,2040.0,0.0,2000-2059,2327.0,0.0,1542.0
7317,1,6,AS,FAI,SEA,2134.0,0.0,2100-2159,141.0,0.0,1533.0
7318,1,6,AS,ANC,FAI,601.0,0.0,0600-0659,657.0,0.0,261.0
7319,1,6,AS,FAI,SEA,28.0,0.0,0001-0559,514.0,0.0,1533.0
7320,1,6,AS,PDX,ANC,1222.0,0.0,1200-1259,1500.0,0.0,1542.0
7321,1,6,AS,FAI,SEA,1543.0,0.0,1500-1559,2005.0,0.0,1533.0
7322,1,6,AS,SEA,FAI,2319.0,0.0,2300-2359,211.0,0.0,1533.0
7323,1,6,AS,ANC,PDX,46.0,0.0,0001-0559,513.0,0.0,1542.0
7324,1,6,AS,ANC,PDX,1614.0,0.0,1600-1659,2043.0,0.0,1542.0
7325,1,6,AS,LAS,SEA,550.0,0.0,0600-0659,823.0,0.0,867.0
7326,1,6,AS,LAS,SEA,649.0,0.0,0700-0759,928.0,0.0,867.0
7327,1,6,AS,SEA,HNL,803.0,0.0,0700-0759,1239.0,1.0,2677.0
7328,1,6,AS,ANC,FAI,1915.0,0.0,1900-1959,2008.0,0.0,261.0
7329,1,6,AS,ANC,LAX,2321.0,0.0,2300-2359,511.0,0.0,2345.0
7330,1,6,AS,ANC,OME,1018.0,0.0,1000-1059,1154.0,0.0,539.0
